 ---------------------------------------------------------------
Surface and Strip forces by surface

 Surface forces referred to Sref,Cref,Bref about Xmom,Ymom,Zmom
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     main_wing_1                             
     # chordwise = 10   # spanwise =100     First strip =  1
     Surface area =  17.880           ave. chord =  2.7158    
     CLsurf  =   0.097731     Clsurf  =  -0.011063
     CYsurf  =  -0.000120     Cmsurf  =  -0.055889
     CDsurf  =   0.002949     Cnsurf  =  -0.000287
     CDisurf =   0.000881     CDvsurf =   0.000000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     cl_surf =   0.357538     cd_surf =   0.010788

 Strip Forces referred to strip area, chord
    j    xLE         yLE         zLE         Chord       Area        Dihedral   c cl        ai_ff       cl           clj         cd          cdv         cm_c/4     c.p.x/c      Dcj
   116   12.59     -0.3877       1.385       2.797      0.1371     -0.2595E-12  0.8039      0.1575E-01  0.2876       0.000      0.3015E-02   0.000     -0.2944E-02  0.2602       0.000    
   117   12.59     -0.4381       1.385       2.797      0.1452       0.000      0.8048      0.1567E-01  0.2879       0.000      0.2936E-02   0.000     -0.2795E-02  0.2597       0.000    
   118   12.59     -0.4915       1.385       2.797      0.1531       0.000      0.8059      0.1556E-01  0.2883       0.000      0.2841E-02   0.000     -0.2618E-02  0.2591       0.000    
   119   12.59     -0.5476       1.385       2.797      0.1609       0.000      0.8071      0.1542E-01  0.2888       0.000      0.2727E-02   0.000     -0.2411E-02  0.2583       0.000    
   120   12.59     -0.6065       1.385       2.797      0.1685       0.000      0.8085      0.1524E-01  0.2893       0.000      0.2590E-02   0.000     -0.2172E-02  0.2575       0.000    
   121   12.59     -0.6681       1.385       2.797      0.1760     -0.2022E-12  0.8101      0.1502E-01  0.2899       0.000      0.2426E-02   0.000     -0.1897E-02  0.2565       0.000    
   122   12.59     -0.7323       1.385       2.797      0.1832      0.1942E-12  0.8119      0.1473E-01  0.2905       0.000      0.2232E-02   0.000     -0.1584E-02  0.2555       0.000    
   123   12.59     -0.7991       1.385       2.797      0.1903       0.000      0.8139      0.1437E-01  0.2913       0.000      0.1999E-02   0.000     -0.1231E-02  0.2542       0.000    
   124   12.59     -0.8684       1.385       2.797      0.1972       0.000      0.8162      0.1389E-01  0.2921       0.000      0.1720E-02   0.000     -0.8355E-03  0.2529       0.000    
   125   12.59     -0.9401       1.385       2.797      0.2040       0.000      0.8186      0.1327E-01  0.2930       0.000      0.1381E-02   0.000     -0.3942E-03  0.2513       0.000    
   126   12.59      -1.014       1.385       2.797      0.2105       0.000      0.8212      0.1244E-01  0.2939       0.000      0.9613E-03   0.000      0.9606E-04  0.2497       0.000    
   127   12.59      -1.091       1.385       2.797      0.2168       0.000      0.8241      0.1128E-01  0.2950       0.000      0.4291E-03   0.000      0.6396E-03  0.2478       0.000    
   128   12.59      -1.169       1.385       2.797      0.2229       0.000      0.8271      0.9622E-02  0.2961       0.000     -0.2753E-03   0.000      0.1243E-02  0.2458       0.000    
   129   12.59      -1.250       1.385       2.797      0.2287       0.000      0.8302      0.7066E-02  0.2973       0.000     -0.1271E-02   0.000      0.1915E-02  0.2436       0.000    
